tweet, sentimiento, negativa, neutral, positiva, defuzz, sent_defuzz, t_fuzz, t_defuzz, t_total
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right, Positiva, 0.0, 0.618, 0.4, 5.87, Neutra, 0.00423121452331543, 0.00036406517028808594, 0.004595279693603516
reading my kindle love it lee childs is good read, Positiva, 0.0, 0.53, 0.5, 7.67, Positiva, 0.0008425712585449219, 0.0004494190216064453, 0.0012919902801513672
ok first assesment of the kindle it fucking rocks, Positiva, 0.0, 0.784, 0.2, 4.98, Neutra, 0.0005753040313720703, 0.00027751922607421875, 0.0008528232574462891
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse, Positiva, 0.1, 0.66, 0.2, 4.88, Neutra, 0.0012900829315185547, 0.0009598731994628906, 0.0022499561309814453
fair enough but i have the kindle and i think it s perfect, Positiva, 0.0, 0.544, 0.5, 7.67, Positiva, 0.0007295608520507812, 0.00020313262939453125, 0.0009326934814453125
no it is too big i m quite happy with the kindle, Positiva, 0.2, 0.564, 0.3, 4.79, Neutra, 0.0007507801055908203, 0.0002694129943847656, 0.001020193099975586
fuck this economy i hate aig and their non loan given asses, Negativa, 0.4, 0.556, 0.0, 3.09, Negativa, 0.0006859302520751953, 0.0003714561462402344, 0.0010573863983154297
jquery is my new best friend, Positiva, 0.0, 0.351, 0.6, 7.67, Positiva, 0.0005826950073242188, 0.00021028518676757812, 0.0007929801940917969
loves twitter, Positiva, 0.0, 0.213, 0.8, 7.6, Positiva, 0.0003304481506347656, 0.00018477439880371094, 0.0005152225494384766
how can you not love obama he makes jokes about himself, Positiva, 0.2, 0.626, 0.1, 4.52, Neutra, 0.0007352828979492188, 0.00034928321838378906, 0.0010845661163330078
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism, Negativa, 0.2, 0.691, 0.1, 4.52, Neutra, 0.00101470947265625, 0.00027823448181152344, 0.0012929439544677734
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation, Positiva, 0.0, 1.0, 0.0, 4.91, Neutra, 0.0007531642913818359, 0.0004048347473144531, 0.001157999038696289
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao, Positiva, 0.0, 0.663, 0.3, 5.26, Neutra, 0.0007948875427246094, 0.00025391578674316406, 0.0010488033294677734
dear nike stop with the flywire that shit is a waste of science and ugly love, Negativa, 0.4, 0.325, 0.2, 3.99, Neutra, 0.0008330345153808594, 0.0002276897430419922, 0.0010607242584228516
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __, Positiva, 0.0, 0.784, 0.2, 4.98, Neutra, 0.0010998249053955078, 0.00029349327087402344, 0.0013933181762695312
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james, Negativa, 0.2, 0.696, 0.1, 4.52, Neutra, 0.0015692710876464844, 0.0003190040588378906, 0.001888275146484375
